,red_id,sede_id,tipo_red,url
35,36,CGEST,facebook,https://www.facebook.com/ArgentinaEnEstambul
36,37,CGEST,instagram,https://www.instagram.com/consuladoargentinoenestambul/
37,38,CGMUM,instagram,https://www.instagram.com/argenmumbai/
38,39,CGTEL,facebook,https://www.facebook.com/ArgentinaEnIsrael/
39,40,CHAMB,instagram,https://www.instagram.com/consulado.argentino.hamburgo
40,41,CHAMB,facebook,https://www.facebook.com/ARGenHamburgo
41,42,CHONG,facebook,https://www.facebook.com/ArgEnHongKong
42,43,CHONG,instagram,https://www.instagram.com/consuladoargentinohongkong/
43,44,CHOUS,twitter,https://x.com/ARGENHOUSTON
44,45,CHOUS,facebook,https://www.facebook.com/ArgentinaEnHouston/
45,46,CHOUS,instagram,https://www.instagram.com/consuladoarghouston/
46,47,CLANG,facebook,https://www.facebook.com/ArgentinaEnLosAngeles/
47,48,CLANG,instagram,https://www.instagram.com/arg_clang/
48,49,CLANG,twitter,https://twitter.com/arg_clang
49,50,CLOND,instagram,https://www.instagram.com/consuladoargentinoenlondres/
50,51,CMADR,facebook,https://www.facebook.com/ArgentinaEnMadridEsp/
51,52,CMADR,instagram,https://www.instagram.com/consuladoargentinoenmadrid?igsh=MW1wMHQzbzhqMGwwbw==
52,53,CMALD,facebook,https://www.facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal
53,54,CMALD,instagram,https://www.instagram.com/consulado_argentino/
54,55,CMALL,facebook,https://www.facebook.com/ArgentinaEnPalmaDeMallorca
55,56,CMALL,instagram,https://www.instagram.com/argentinaenpalmademallorca/
56,57,CMDEO,facebook,https://www.facebook.com/ArgentinaEnMontevideo/
57,58,CMDEO,instagram,https://www.instagram.com/consuladoargenmontevideo
58,59,CMIAM,facebook,https://es-la.facebook.com/consuladoargentino.miami/
